Year,Value,Units
2016,99.5,Accès haute vitesse évolué par paquets (HSPA+)
2017,99.5,Accès haute vitesse évolué par paquets (HSPA+)
2018,99.5,Accès haute vitesse évolué par paquets (HSPA+)
2019,99.5,Accès haute vitesse évolué par paquets (HSPA+)
2020,99.5,Accès haute vitesse évolué par paquets (HSPA+)
2021,99.5,Accès haute vitesse évolué par paquets (HSPA+)
2016,98.6,Évolution à long terme (LTE)
2017,99.1,Évolution à long terme (LTE)
2018,99.3,Évolution à long terme (LTE)
2019,99.5,Évolution à long terme (LTE)
2020,99.5,Évolution à long terme (LTE)
2021,99.4,Évolution à long terme (LTE)
2016,83.4,Évolution à long terme - A (LTE-A)
2017,92.4,Évolution à long terme - A (LTE-A)
2018,94.9,Évolution à long terme - A (LTE-A)
2019,95.9,Évolution à long terme - A (LTE-A)
2020,97.5,Évolution à long terme - A (LTE-A)
2021,97.8,Évolution à long terme - A (LTE-A)
2016,0.0,5G
2017,0.0,5G
2018,0.0,5G
2019,0.0,5G
2020,53.3,5G
2021,87.8,5G
