Year,Type of disease,Value
2015,Acute respiratory infections,21.889
2015,Diarrhoea,3.056
2015,Intestinal nematode infections,0.0
2015,Protein-energy malnutrition,0.541
2016,Acute respiratory infections,17.702
2016,Diarrhoea,2.634
2016,Intestinal nematode infections,0.0
2016,Protein-energy malnutrition,0.462
2017,Acute respiratory infections,20.821
2017,Diarrhoea,2.479
2017,Intestinal nematode infections,0.0
2017,Protein-energy malnutrition,0.545
2018,Acute respiratory infections,23.745
2018,Diarrhoea,2.377
2018,Intestinal nematode infections,0.0
2018,Protein-energy malnutrition,0.577
2019,Acute respiratory infections,18.784
2019,Diarrhoea,2.144
2019,Intestinal nematode infections,0.0
2019,Protein-energy malnutrition,0.505
2020,Acute respiratory infections,15.881
2020,Diarrhoea,2.039
2020,Intestinal nematode infections,0.0
2020,Protein-energy malnutrition,0.605
