Year,Âge au décès,Sexe,Causes of death,Value
2015,Tous les âges,Les deux sexes,Tumeurs malignes,215.0
2015,Tous les âges,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",4.3
2015,Tous les âges,Les deux sexes,Diabète sucré,20.0
2015,Tous les âges,Les deux sexes,Maladies du coeur,143.8
2015,Tous les âges,Les deux sexes,Grippe et pneumopathie,21.3
2015,Tous les âges,Les deux sexes,Acute bronchitis and bronchiolitis,0.2
2015,Tous les âges,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,35.1
2015,Tous les âges,Hommes,Tumeurs malignes,227.4
2015,Tous les âges,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",4.7
2015,Tous les âges,Hommes,Diabète sucré,22.2
2015,Tous les âges,Hommes,Maladies du coeur,153.6
2015,Tous les âges,Hommes,Grippe et pneumopathie,19.2
2015,Tous les âges,Hommes,Acute bronchitis and bronchiolitis,0.2
2015,Tous les âges,Hommes,Maladies chroniques des voies respiratoires inférieures,35.1
2015,Tous les âges,Femmes,Tumeurs malignes,202.8
2015,Tous les âges,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",3.9
2015,Tous les âges,Femmes,Diabète sucré,17.8
2015,Tous les âges,Femmes,Maladies du coeur,134.2
2015,Tous les âges,Femmes,Grippe et pneumopathie,23.3
2015,Tous les âges,Femmes,Acute bronchitis and bronchiolitis,0.2
2015,Tous les âges,Femmes,Maladies chroniques des voies respiratoires inférieures,35.1
2015,1 à 14 ans,Les deux sexes,Tumeurs malignes,2.4
2015,1 à 14 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,1 à 14 ans,Les deux sexes,Diabète sucré,0.0
2015,1 à 14 ans,Les deux sexes,Maladies du coeur,0.3
2015,1 à 14 ans,Les deux sexes,Grippe et pneumopathie,0.3
2015,1 à 14 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,1 à 14 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,1 à 14 ans,Hommes,Tumeurs malignes,2.5
2015,1 à 14 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,1 à 14 ans,Hommes,Diabète sucré,0.0
2015,1 à 14 ans,Hommes,Maladies du coeur,0.3
2015,1 à 14 ans,Hommes,Grippe et pneumopathie,0.4
2015,1 à 14 ans,Hommes,Acute bronchitis and bronchiolitis,0.1
2015,1 à 14 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,1 à 14 ans,Femmes,Tumeurs malignes,2.4
2015,1 à 14 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.2
2015,1 à 14 ans,Femmes,Diabète sucré,0.0
2015,1 à 14 ans,Femmes,Maladies du coeur,0.2
2015,1 à 14 ans,Femmes,Grippe et pneumopathie,0.3
2015,1 à 14 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,1 à 14 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,1 à 4 ans,Les deux sexes,Tumeurs malignes,2.1
2015,1 à 4 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.3
2015,1 à 4 ans,Les deux sexes,Diabète sucré,0.0
2015,1 à 4 ans,Les deux sexes,Maladies du coeur,0.6
2015,1 à 4 ans,Les deux sexes,Grippe et pneumopathie,0.6
2015,1 à 4 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.1
2015,1 à 4 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.0
2015,1 à 4 ans,Hommes,Tumeurs malignes,2.2
2015,1 à 4 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.3
2015,1 à 4 ans,Hommes,Diabète sucré,0.0
2015,1 à 4 ans,Hommes,Maladies du coeur,0.9
2015,1 à 4 ans,Hommes,Grippe et pneumopathie,0.6
2015,1 à 4 ans,Hommes,Acute bronchitis and bronchiolitis,0.3
2015,1 à 4 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.0
2015,1 à 4 ans,Femmes,Tumeurs malignes,2.0
2015,1 à 4 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.3
2015,1 à 4 ans,Femmes,Diabète sucré,0.0
2015,1 à 4 ans,Femmes,Maladies du coeur,0.4
2015,1 à 4 ans,Femmes,Grippe et pneumopathie,0.5
2015,1 à 4 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,1 à 4 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.0
2015,5 à 9 ans,Les deux sexes,Tumeurs malignes,2.8
2015,5 à 9 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.0
2015,5 à 9 ans,Les deux sexes,Diabète sucré,0.0
2015,5 à 9 ans,Les deux sexes,Maladies du coeur,0.1
2015,5 à 9 ans,Les deux sexes,Grippe et pneumopathie,0.3
2015,5 à 9 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,5 à 9 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,5 à 9 ans,Hommes,Tumeurs malignes,2.9
2015,5 à 9 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.0
2015,5 à 9 ans,Hommes,Diabète sucré,0.0
2015,5 à 9 ans,Hommes,Maladies du coeur,0.0
2015,5 à 9 ans,Hommes,Grippe et pneumopathie,0.3
2015,5 à 9 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,5 à 9 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,5 à 9 ans,Femmes,Tumeurs malignes,2.6
2015,5 à 9 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.0
2015,5 à 9 ans,Femmes,Diabète sucré,0.0
2015,5 à 9 ans,Femmes,Maladies du coeur,0.1
2015,5 à 9 ans,Femmes,Grippe et pneumopathie,0.3
2015,5 à 9 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,5 à 9 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,10 à 14 ans,Les deux sexes,Tumeurs malignes,2.4
2015,10 à 14 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,10 à 14 ans,Les deux sexes,Diabète sucré,0.1
2015,10 à 14 ans,Les deux sexes,Maladies du coeur,0.2
2015,10 à 14 ans,Les deux sexes,Grippe et pneumopathie,0.2
2015,10 à 14 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,10 à 14 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.3
2015,10 à 14 ans,Hommes,Tumeurs malignes,2.4
2015,10 à 14 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.0
2015,10 à 14 ans,Hommes,Diabète sucré,0.1
2015,10 à 14 ans,Hommes,Maladies du coeur,0.2
2015,10 à 14 ans,Hommes,Grippe et pneumopathie,0.2
2015,10 à 14 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,10 à 14 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.3
2015,10 à 14 ans,Femmes,Tumeurs malignes,2.4
2015,10 à 14 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.2
2015,10 à 14 ans,Femmes,Diabète sucré,0.0
2015,10 à 14 ans,Femmes,Maladies du coeur,0.1
2015,10 à 14 ans,Femmes,Grippe et pneumopathie,0.1
2015,10 à 14 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,10 à 14 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,15 à 24 ans,Les deux sexes,Tumeurs malignes,3.3
2015,15 à 24 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,15 à 24 ans,Les deux sexes,Diabète sucré,0.2
2015,15 à 24 ans,Les deux sexes,Maladies du coeur,0.9
2015,15 à 24 ans,Les deux sexes,Grippe et pneumopathie,0.3
2015,15 à 24 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,15 à 24 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,15 à 24 ans,Hommes,Tumeurs malignes,4.1
2015,15 à 24 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,15 à 24 ans,Hommes,Diabète sucré,0.3
2015,15 à 24 ans,Hommes,Maladies du coeur,1.1
2015,15 à 24 ans,Hommes,Grippe et pneumopathie,0.5
2015,15 à 24 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,15 à 24 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,15 à 24 ans,Femmes,Tumeurs malignes,2.5
2015,15 à 24 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.0
2015,15 à 24 ans,Femmes,Diabète sucré,0.1
2015,15 à 24 ans,Femmes,Maladies du coeur,0.8
2015,15 à 24 ans,Femmes,Grippe et pneumopathie,0.1
2015,15 à 24 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,15 à 24 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,15 à 19 ans,Les deux sexes,Tumeurs malignes,2.8
2015,15 à 19 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,15 à 19 ans,Les deux sexes,Diabète sucré,0.1
2015,15 à 19 ans,Les deux sexes,Maladies du coeur,0.4
2015,15 à 19 ans,Les deux sexes,Grippe et pneumopathie,0.3
2015,15 à 19 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,15 à 19 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,15 à 19 ans,Hommes,Tumeurs malignes,3.2
2015,15 à 19 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,15 à 19 ans,Hommes,Diabète sucré,0.2
2015,15 à 19 ans,Hommes,Maladies du coeur,0.3
2015,15 à 19 ans,Hommes,Grippe et pneumopathie,0.6
2015,15 à 19 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,15 à 19 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.0
2015,15 à 19 ans,Femmes,Tumeurs malignes,2.4
2015,15 à 19 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,15 à 19 ans,Femmes,Diabète sucré,0.1
2015,15 à 19 ans,Femmes,Maladies du coeur,0.5
2015,15 à 19 ans,Femmes,Grippe et pneumopathie,0.1
2015,15 à 19 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,15 à 19 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.3
2015,20 à 24 ans,Les deux sexes,Tumeurs malignes,3.7
2015,20 à 24 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,20 à 24 ans,Les deux sexes,Diabète sucré,0.3
2015,20 à 24 ans,Les deux sexes,Maladies du coeur,1.4
2015,20 à 24 ans,Les deux sexes,Grippe et pneumopathie,0.3
2015,20 à 24 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,20 à 24 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,20 à 24 ans,Hommes,Tumeurs malignes,4.8
2015,20 à 24 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.2
2015,20 à 24 ans,Hommes,Diabète sucré,0.4
2015,20 à 24 ans,Hommes,Maladies du coeur,1.7
2015,20 à 24 ans,Hommes,Grippe et pneumopathie,0.4
2015,20 à 24 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,20 à 24 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,20 à 24 ans,Femmes,Tumeurs malignes,2.6
2015,20 à 24 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.0
2015,20 à 24 ans,Femmes,Diabète sucré,0.2
2015,20 à 24 ans,Femmes,Maladies du coeur,1.1
2015,20 à 24 ans,Femmes,Grippe et pneumopathie,0.2
2015,20 à 24 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,20 à 24 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,25 à 34 ans,Les deux sexes,Tumeurs malignes,8.2
2015,25 à 34 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.2
2015,25 à 34 ans,Les deux sexes,Diabète sucré,1.0
2015,25 à 34 ans,Les deux sexes,Maladies du coeur,3.0
2015,25 à 34 ans,Les deux sexes,Grippe et pneumopathie,0.4
2015,25 à 34 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,25 à 34 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,25 à 34 ans,Hommes,Tumeurs malignes,7.4
2015,25 à 34 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.2
2015,25 à 34 ans,Hommes,Diabète sucré,1.4
2015,25 à 34 ans,Hommes,Maladies du coeur,3.9
2015,25 à 34 ans,Hommes,Grippe et pneumopathie,0.4
2015,25 à 34 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,25 à 34 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,25 à 34 ans,Femmes,Tumeurs malignes,9.0
2015,25 à 34 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,25 à 34 ans,Femmes,Diabète sucré,0.7
2015,25 à 34 ans,Femmes,Maladies du coeur,2.1
2015,25 à 34 ans,Femmes,Grippe et pneumopathie,0.3
2015,25 à 34 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,25 à 34 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,25 à 29 ans,Les deux sexes,Tumeurs malignes,5.4
2015,25 à 29 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.2
2015,25 à 29 ans,Les deux sexes,Diabète sucré,1.3
2015,25 à 29 ans,Les deux sexes,Maladies du coeur,2.5
2015,25 à 29 ans,Les deux sexes,Grippe et pneumopathie,0.2
2015,25 à 29 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,25 à 29 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.3
2015,25 à 29 ans,Hommes,Tumeurs malignes,4.7
2015,25 à 29 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.3
2015,25 à 29 ans,Hommes,Diabète sucré,1.8
2015,25 à 29 ans,Hommes,Maladies du coeur,3.2
2015,25 à 29 ans,Hommes,Grippe et pneumopathie,0.3
2015,25 à 29 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,25 à 29 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.4
2015,25 à 29 ans,Femmes,Tumeurs malignes,6.2
2015,25 à 29 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.2
2015,25 à 29 ans,Femmes,Diabète sucré,0.8
2015,25 à 29 ans,Femmes,Maladies du coeur,1.9
2015,25 à 29 ans,Femmes,Grippe et pneumopathie,0.1
2015,25 à 29 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,25 à 29 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,30 à 34 ans,Les deux sexes,Tumeurs malignes,11.0
2015,30 à 34 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,30 à 34 ans,Les deux sexes,Diabète sucré,0.8
2015,30 à 34 ans,Les deux sexes,Maladies du coeur,3.5
2015,30 à 34 ans,Les deux sexes,Grippe et pneumopathie,0.6
2015,30 à 34 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,30 à 34 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,30 à 34 ans,Hommes,Tumeurs malignes,10.1
2015,30 à 34 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,30 à 34 ans,Hommes,Diabète sucré,1.0
2015,30 à 34 ans,Hommes,Maladies du coeur,4.7
2015,30 à 34 ans,Hommes,Grippe et pneumopathie,0.6
2015,30 à 34 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,30 à 34 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.0
2015,30 à 34 ans,Femmes,Tumeurs malignes,11.8
2015,30 à 34 ans,Femmes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.1
2015,30 à 34 ans,Femmes,Diabète sucré,0.6
2015,30 à 34 ans,Femmes,Maladies du coeur,2.2
2015,30 à 34 ans,Femmes,Grippe et pneumopathie,0.6
2015,30 à 34 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,30 à 34 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2015,35 à 44 ans,Les deux sexes,Tumeurs malignes,23.6
2015,35 à 44 ans,Les deux sexes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.4
2015,35 à 44 ans,Les deux sexes,Diabète sucré,2.2
2015,35 à 44 ans,Les deux sexes,Maladies du coeur,9.7
2015,35 à 44 ans,Les deux sexes,Grippe et pneumopathie,1.2
2015,35 à 44 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,35 à 44 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.6
2015,35 à 44 ans,Hommes,Tumeurs malignes,19.7
2015,35 à 44 ans,Hommes,"Tumeurs in situ, tumeurs bénignes et tumeurs à évolution imprévisible ou inconnue",0.5
2015,35 à 44 ans,Hommes,Diabète sucré,3.1
2015,35 à 44 ans,Hommes,Maladies du coeur,14.1
2015,35 à 44 ans,Hommes,Grippe et pneumopathie,1.4
