Year,Series,Géographie,GeoCode,Value
2013,Wastewater discharge from manufacturing industries,,,66.0313712261764
2015,Wastewater discharge from manufacturing industries,,,63.1190926275992
2017,Wastewater discharge from manufacturing industries,,,63.0986619982493
2020,Wastewater discharge from manufacturing industries,,,64.3180083377371
2013,Wastewater discharged from municipal sewage systems,,,98.1
2014,Wastewater discharged from municipal sewage systems,,,98.07
2015,Wastewater discharged from municipal sewage systems,,,98.11
2016,Wastewater discharged from municipal sewage systems,,,98.13
2017,Wastewater discharged from municipal sewage systems,,,98.08
2018,Wastewater discharged from municipal sewage systems,,,98.1
2019,Wastewater discharged from municipal sewage systems,,,98.2
2020,Wastewater discharged from municipal sewage systems,,,98.23
2013,Wastewater discharged from municipal sewage systems,Alberta,48,99.95
2013,Wastewater discharged from municipal sewage systems,Assiniboine-Red drainage region,,100.0
2013,Wastewater discharged from municipal sewage systems,Colombie-Britannique,59,94.31
2013,Wastewater discharged from municipal sewage systems,Churchill drainage region,,100.0
2013,Wastewater discharged from municipal sewage systems,Columbia drainage region,,100.0
2013,Wastewater discharged from municipal sewage systems,Fraser-Lower Mainland drainage region,,100.0
2013,Wastewater discharged from municipal sewage systems,Great Lakes drainage region,,99.99
2013,Wastewater discharged from municipal sewage systems,Lower Mackenzie drainage region,,93.33
2013,Wastewater discharged from municipal sewage systems,Lower Saskatchewan-Nelson drainage region,,100.0
2013,Wastewater discharged from municipal sewage systems,Manitoba,46,100.0
2013,Wastewater discharged from municipal sewage systems,Maritime Coastal drainage region,,90.95
2013,Wastewater discharged from municipal sewage systems,Nouveau-Brunswick,13,100.0
2013,Wastewater discharged from municipal sewage systems,Terre-Neuve-et-Labrador,10,52.71
2013,Wastewater discharged from municipal sewage systems,Newfoundland-Labrador drainage region,,52.59
2013,Wastewater discharged from municipal sewage systems,North Saskatchewan drainage region,,100.0
2013,Wastewater discharged from municipal sewage systems,North Shore-Gaspé drainage region,,94.66
2013,Wastewater discharged from municipal sewage systems,Northern Ontario drainage region,,98.89
2013,Wastewater discharged from municipal sewage systems,Northern Quebec drainage region,,97.96
2013,Wastewater discharged from municipal sewage systems,Nouvelle-Écosse,12,87.4
2013,Wastewater discharged from municipal sewage systems,Okanagan-Similkameen drainage region,,100.0
2013,Wastewater discharged from municipal sewage systems,Ontario,35,100.0
2013,Wastewater discharged from municipal sewage systems,Ottawa drainage region,,99.65
2013,Wastewater discharged from municipal sewage systems,Pacific Coastal drainage region,,71.9
2013,Wastewater discharged from municipal sewage systems,Peace-Athabasca drainage region,,99.52
2013,Wastewater discharged from municipal sewage systems,Île-du-Prince-Édouard,11,100.0
2013,Wastewater discharged from municipal sewage systems,Québec,24,99.36
2013,Wastewater discharged from municipal sewage systems,Saint John-St. Croix drainage region,,100.0
2013,Wastewater discharged from municipal sewage systems,Saskatchewan,47,100.0
2013,Wastewater discharged from municipal sewage systems,South Saskatchewan drainage region,,100.0
2013,Wastewater discharged from municipal sewage systems,St. Lawrence drainage region,,99.81
2013,Wastewater discharged from municipal sewage systems,Total drainage regions,,98.1
2013,Wastewater discharged from municipal sewage systems,Winnipeg drainage region,,100.0
2013,Wastewater discharged from municipal sewage systems,Yukon,60,100.0
2013,Wastewater discharged from municipal sewage systems,Yukon drainage region,,100.0
2014,Wastewater discharged from municipal sewage systems,Alberta,48,99.98
2014,Wastewater discharged from municipal sewage systems,Assiniboine-Red drainage region,,99.95
2014,Wastewater discharged from municipal sewage systems,Colombie-Britannique,59,94.36
2014,Wastewater discharged from municipal sewage systems,Churchill drainage region,,100.0
2014,Wastewater discharged from municipal sewage systems,Columbia drainage region,,100.0
2014,Wastewater discharged from municipal sewage systems,Fraser-Lower Mainland drainage region,,100.0
